12 Mile Creek,,10503.72,66.25784,1
13TM173,,9550,100,1
32DU181,,8870,70,1
32DU183,,9840,60,1
32DU224,,9690,60,1
35CU67C,,8429.044,48.23684,1
35HA1028,,8440,90,1
35HA2222,,9360.946,122.06,1
35JE49,,8202.353,45.5554,1
35JE49,,9360.9,34.45837,1
35LA861,,9485,90,1
35LK1180,,8220,430,1
35LK1180,,9880,360,1
35LK1871,,11490,90,1
35LK1881,,8750.129,55.1487,1
35LK2076,,8803.824,102.8992,1
35LK2076,,10020,370,1
41LU26,,11100,80,1
41WH19,,9920,530,1
42SA17107,,8340,290,1
42SA17215,,8330,110,1
42SA17216,,8100,220,1
45CH58,,8180,90,1
45GA47,,8050,110,1
45KI25,,8540,110,1
45WT111,,8590,160,1
48FR3160,,8210,60,1
48LN1101,,8500,120,1
48LN1185,,8180,270,1
48LN1185,,8570,220,1
48LN1658,,9530,300,1
48LN1679,,9650,290,1
48LN2996,,8170,70,1
48LN373,,8980,130,1
48PA328,,8270,90,1
48SU2980,,8510,160,1
48SW4492,,8020,90,1
48UT786,,8475.276,59.4829,1
8LE2105,,9870.492,38.41106,1
Agate Basin,,9750,130,1
Agate Basin,,9990,225,1
Agate Basin,,10375,700,1
Agate Basin,,10412.72,548.172,1
Agate Basin,,10445,110,1
Agate Basin,,10575,90,1
Agate Basin,,10780,120,1
Agate Basin,,11144.62,59.73748,1
Agate Basin,,11700,95,1
Albertson,,8410,245,1
Alexon,,9990,200,1
Alexon,,11170,130,1
Alkali Creek,,8528.071,29.29379,1
Allen,,8050,80,1
Allen,,8160,80,1
Angeles Mesa,,10500,2000,1
Anzick,,11040,35,2
Arenosa Shelter,,9550,190,1
Arlington Springs,,10960,80,2
Armijo Shelter,,10000,490,1
Arnold Research Cave,,8120,350,1
Arnold Research Cave,,8791.6,240,1
Arrow Creek 1 (766T),,8175.087,42.35294,1
Arrow Creek 2 (925T),,9366.286,35.47487,1
Arrow Creek 2 (925T),,9594.433,18.15025,1
Arrow Creek 2 (925T),,9730.756,65.68402,1
Aubrey,,11151.35,45.36987,1
Avon  Hidden Valley,,9390.045,221.982,1
Awl,,9440,81.31728,1
Baker Cave,,8080,80,1
Baker Cave,,9004.319,86.05686,1
Barton Gulch,,8200.3,67.31891,1
Barton Gulch,,8752.76,18.67619,1
Barton Gulch,,8842.593,123.8734,1
Bass-Anderson,,8900,210,1
Baucom,,8170,110,1
Bear Cove,,8020,110,1
Beaver Creek Shelter,,9380,300,1
Bench Mark Bay,,10270,160,1
Benz,,9540,50,1
Berger Bluff,,10190,160,1
Berger Bluff,,11550,800,1
Beta Rockshelter,,8175,230,1
Betty Greene,,9860,300,1
Big Bone Lick,,10600,250,1
Big Eddy,,9525,65,1
Big Eddy,,10414.82,56.23784,1
Big Eddy,,12145.44,40.62494,1
Big Lake,,8147.326,115.6791,1
Bison Rockshelter,,10340,830,1
Blackwater Draw 1,,8872.578,44.63604,1
Blackwater Draw 1,,10264.27,219.4449,1
Blackwater Draw 1,,10376.83,156.1738,1
Blackwater Draw 1,,10822.91,102.9448,1
Blue Dart,,8320,60,1
Blue Point,,8330,420,1
Blue Point,,9540,50,1
Bobtail Wolf,,9300,60,1
Bobtail Wolf,,9990,60,1
Boca Negra Wash,,9540,580,1
Bolton Spring,,10700,70,1
Bonfire Shelter,,9990.526,81.78944,1
Bonfire Shelter,,12430,490,1
Bonneville Estates,,11010,40,2
Bottleneck Cave,,8111.881,139.3123,1
Bottleneck Cave,,8210,200,1
Bottleneck Cave,,8270,180,1
Bowling Dune,,8080,90,1
Bozner,,9080,350,1
Bradbury Brook,,9220,75,1
Brigham,,8500,70,1
Brigham,,8580,45,1
Brigham,,10290,460,1
Browns Valley,,8956.484,65.74316,1
Buchanan,,10230,150,1
Buena Vista Lake,,8475,282.8427,1
Buffalo Flat,,9130,130,1
Buffalo Flat,,10800,600,1
Buhl burial,,10675,95,1
Burning Tree Mastodon,,11704.58,36.02546,1
Bush Shelter,,9000,240,1
Bush Shelter,,9530,100,1
BZT-1,,10539.18,721.6243,1
C.W. Harris,,8490,282.8427,1
Cactus Hill,,10920,250,2
Callahan Sand Pit,,8750,230,1
Campbell Hollow,,8350,100,1
Cape,,8050,80,1
CAPla164,,8130,130,1
Caratunk,,10110,70,1
Carter/Kerr-McGee,,9130,220,1
Carter/Kerr-McGee,,10400,600,1
CASCl178,,8050,300,1
CASCl178,,9960,500,1
CASCr177,,10080,460,1
Casper,,10140,170,1
Casper,,11190,50,3
CASRI1,,8730,110,1
Castle Rock,,8270,130,1
Cedar Lake,,9529.651,176.7879,1
CeEt-482,,8250,260,1
Charlestown Meadows,,9120,280,1
Charlie Lake Cave,,9490,140,1
Charlie Lake Cave,,9852.493,81.47951,1
Charlie Lake Cave,,10500.38,42.05352,1
Charlie Range Basalt Ridge,,8390,130,1
Cherokee Sewer,,8390.552,135.1877,1
China Wall,,8806.153,22.77569,1
Clarks Flat,,10142.28,83.61623,1
Cloudsplitter Rockshelter,,9072.575,87.15654,1
Colby,,10985.12,118.7112,1
Connley Cave 3,,8290,310,1
Connley Cave 4A,,9150,150,1
Connley Cave 4A,,10100,400,1
Connley Cave 4B,,10436.01,109.3925,1
Connley Cave 5A,,9800,250,1
Connley Cave 5B,,9540,260,1
Connley Cave 6,,9710,880,1
Coontail Spin,,10300,400,1
Cooper,,10050,210,1
Cooper Hollow,,12590,195,1
Cooper’s Ferry,,9699.756,37.635,1
Cougar Mountain #2,,11950,350,1
Cougar Mountain Cave,,8510,250,1
Cowboy Cave,,8275,80,1
Cowpath,,8600,325,1
Crypt Cave,,9120,60,1
Cully’s Dump,,8060,160,1
Cummins,,8480,390,1
Cutler Hammock,,9760,120,1
Daisy Cave,,8178,53.66563,1
Daisy Cave,,8460,100,1
Daisy Cave,,8660,53.66563,1
Daisy Cave,,9052.759,59.79275,1
Daisy Cave,,9158.462,49.92302,1
Daisy Cave,,10599.79,50.85191,1
Danger Cave,,9858.847,81.53989,1
Danger Cave,,10130.99,79.06536,1
Debert,,10590,50,3
Deep Shelter,,8520,470,1
Deer Creek Cave,,9670,300,1
Deer Creek Cave,,10085,400,1
Dent,,10990,25,2
Devil’s Mouth,,8780,310,1
DgPm-1,,8220,260,1
Diablo Canyon,,8820,190,1
Diablo Canyon,,9402.406,112.7078,1
Dietz or Tucker,,9494.146,62.4695,1
Dill Farm,,8050,90,1
Dirty Shame Rockshelter,,8994.608,41.62469,1
DjPm-79,,8560,160,1
DjPo-81,,8594.382,169.5997,1
Domebo,,10960,30,2
Double Adobe,,9350,160,1
Double P,,8555,200,1
Dust Cave,,8470,50,1
Dust Cave,,8790.191,47.96828,1
Dust Cave,,9921.765,45.5554,1
Dust Cave,,10167.95,16.13508,1
Dust Devil Cave (NA7613),,8762.095,90.64461,1
Dutchess Quarry Cave No. 8,,8290,100,1
Dyer Elk,,9200,280,1
Eagle Cave,,8677.637,62.17997,1
Eagle Shelter,,9775,90,1
East Wenatchee,,11125,130,2
Echo Bay (1128T),,9270,100,1
Echo Bay (1128T),,9640,70,1
Edgar,,8860,170,1
EgPs-48,,8250,130,1
EiBl-5,,8010,110,1
ElTa-18,,9940,50,1
Enoch Fork Rockshelter,,8740,130,1
Enoch Fork Rockshelter,,10960,240,1
Eppley Rockshelter,,10743.16,79.2624,1
Esker,,10060,60,1
FALSE Cougar Cave,,8255,120,1
FALSE Cougar Cave,,10530,140,1
FcQa-8,,8030,200,1
Ferry,,8160,200,1
Filemile Rapids/Roadcut,,9785,220,1
Finley,,9165.545,54.54851,1
Fishbone Cave,,11200,250,1
Fishing Bridge,,8940,60,1
Flaming Arrow,,9937.348,66.89647,1
Flooded Cave,,10000,200,1
Folsom,,10890.61,48.61214,1
Fort Langley,,8368.118,45.5554,1
Fort Rock Cave,,8765.07,69.21389,1
Fort Rock Cave,,9043.587,118.2531,1
Fossil Lake,,10176.56,82.32913,1
Gap,,8449.438,127.1997,1
Gardepe,,9380,100,1
Glenrose Cannery,,8150,250,1
Gore Creek,,8340,115,1
Graham Cave,,8830,250,1
Graham Cave,,9520.358,173.133,1
Grey-Taylor,,8600,245,1
Grimes Burial Shelter,,9470,60,1
Guest mammoth,,9840,190,1
Handprint Cave,,10740,70,1
Hanson,,9285,90,1
Hanson,,10231.65,88.21438,1
Harney Lake,,8680,55,1
Hastqin,,8260,100,1
Hatwai,,9554.661,76.72611,1
Hatwai,,10355.65,117.6748,1
Hawkwood,,8330,330,1
Headquarters,,8300,140,1
Hebior,,12531.43,26.0133,1
Hedden,,10550,43,3
Heisler mastodon,,11465,77.78175,1
Hell Gap,,8590,350,1
Hell Gap,,8600,600,1
Hell Gap,,8690,380,1
Hell Gap,,8890,110,1
Hell Gap,,10090,200,1
Hell Gap,,10240,300,1
Hell Gap,,10260,95,1
Hell Gap,,10290,500,1
Hell Gap,,10850,550,1
Hell Gap,,10896.9,185.6953,1
Hell Gap,,10955,135,2
Henwood,,8470,370,1
Hermit’s Cave,,12900,350,1
Heron Eden,,9150.282,40.44704,1
Hetrick,,9911.538,49.92302,1
Hinds Cave,,8278.842,46.91599,1
Hinds Cave,,9120,90,1
Hiscock,,10795,39,3
Hogup Cave,,8350,160,1
Hogup Cave,,8800,200,1
Horace Rivers,,9088.51,38.12824,1
Horn Rock Shelter 2,,8675,120,1
Horn Rock Shelter 2,,10210.53,90.3923,1
Horner,,9164.123,56.19515,1
Horner,,9899.029,79.28784,1
Howard Gully,,10860,98.38699,1
Hudson-Meng,,9512.504,38.48993,1
Huntington Dam,,11320,77.78175,1
Icehouse Bottom,,8984.481,94.63182,1
Indian Creek,,8340,100,1
Indian Creek,,9290,120,1
Indian Creek,,9860,70,1
Indian Creek,,9870,130,1
Indian Creek,,10010,110,1
Indian Creek,,10140.38,78.44645,1
Indian Creek,,10419.66,58.66814,1
Indian Creek,,10980,110,2
Indian Sands,,10430,150,1
Jackknife Cave,,8130,105,1
Jaguar Cave,,11171.22,203.4334,1
Jake Bluff,,10765,25,2
James Pass Meadow,,9750,80,1
James Pass Meadow,,10120,80,1
J-Crossing,,8954.634,127.2691,1
Jim Pitts,,10168,36.60023,1
Jim Pitts,,11588.79,116.1458,1
Joe’s Valley Alcove,,8210,220,1
John’s Bridge,,8288.969,171.4461,1
Johnsen No. 3,,8690.31,152.3577,1
Johnsen No. 3,,8855.479,155.082,1
Johnsen No. 3,,8952.39,163.3676,1
Johnsen No. 3,,9040,285,1
Johnsen No. 3,,9665,550,1
Johnson,,11985.09,108.6259,1
Kanorado,,10980,40,2
Kennewick Man,,8295.455,25.58409,1
Kilgii Gwaay 1325T,,9670.543,13.45346,1
Kincaid Shelter,,10244.15,79.01381,1
Koehn-Schneider,,11050,170,1
Koster,,8130,80,1
Koster,,8220,80,1
Koster,,8230,120,1
Koster,,8376.497,41.31638,1
Koster,,8730,90,1
La Paloma,,9950.843,84.55847,1
Lagrange,,11240,635,1
Laguna Beach,,9360,105,1
Lake Abert,,10671.49,72.56495,1
Lake Theo,,9950,110,1
Landels,,8400,90,1
Lange/Ferguson,,10800,530,1
Lange-Ferguson,,11080,40,2
Last Supper Cave,,8487.62,73.70244,1
Lehner,,9900,80,1
Lehner,,10950,40,2
Leonard Rockshelter,,8660,300,1
Leonard Rockshelter,,11199,570,1
Levi,,9300,160,1
Levi,,10000,175,1
Lime Creek,,9524,450,1
Limington,,8470,110,1
Lind Coulee,,8613.529,61.09197,1
Lindoe,,9868.634,101.4587,1
Lindsay mammoth,,12034.97,40.95964,1
Little Canyon Creek Cave,,8790,210,1
Little Canyon Creek Cave,,10170,250,1
Little Ossipee North,,9350,90,1
Little River Rapids,,10910,110,1
Little Salt Spring,,9595.574,78.07615,1
Little Salt Spring,,12030,200,1
Locus III,,9400,270,1
Lodgepole Creek,,8700,190,1
Loeve,,8500,130,1
Logan Creek,,8125,250,1
Long Tom,,8890,120,1
Longworth-Gick,,8420,110,1
Longworth-Gick,,8660.962,105.5097,1
Lookingbill,,8525,100,1
Lookingbill,,10405,95,1
Lubbock Lake,,8302.681,68.68422,1
Lubbock Lake,,8600.137,84.26963,1
Lubbock Lake,,8730,240,1
Lubbock Lake,,9132.927,62.4695,1
Lubbock Lake,,9330,70,1
Lubbock Lake,,9550,66.89647,1
Lubbock Lake,,9600,55,1
Lubbock Lake,,9615.63,49.52263,1
Lubbock Lake,,9780,100,1
Lubbock Lake,,9810,50,1
Lubbock Lake,,9898.372,75.09698,1
Lubbock Lake,,9950,120,1
Lubbock Lake,,9960,80,1
Lubbock Lake,,10015,75,1
Lubbock Lake,,10080,70.71068,1
Lubbock Lake,,10141.87,72.3855,1
Lubbock Lake,,10240.02,64.01826,1
Lubbock Lake,,10540,100,1
Lubbock Lake,,11100,60,2
Lyell Bay East (1354T),,8610,42.42641,1
Lyell Bay South (1355T),,8386.919,22.87479,1
MacHaffie,,8656.608,34.06398,1
MacHaffie,,9124.199,41.5725,1
MacHaffie,,9844.578,34.05071,1
MacHaffie,,10390,40,1
Main,,8302.65,41.46315,1
Mammoth Meadow I,,8767.91,61.40864,1
Mangus,,8645,70.71068,1
Manis,,11099.52,30.49265,1
Manning,,9681.396,78.09172,1
Manning,,9865,141.4214,1
Maple Leaf,,8630,270,1
Marial,,8560,190,1
Marks Beach,,9920,380,1
Marmes Rockshelter,,8869.462,68.04485,1
Marmes Rockshelter,,10119.2,81.83775,1
Marshmeadow,,10700,870,1
McCulley Creek,,8760,70,1
McFaddin Beach,,11100,750,1
Meadowcroft Rockshelter,,8518.845,79.4906,1
Meadowcroft Rockshelter,,11300,700,1
Meadowcroft Rockshelter,,12800,870,1
Medicine Creek,,8274,500,1
Medicine Creek,,10493,1500,1
Medicine Lodge Creek,,8190.831,130.5396,1
Medicine Lodge Creek,,8320,220,1
Medicine Lodge Creek,,8680,250,1
Medicine Lodge Creek,,8760,400,1
Medicine Lodge Creek,,8830,470,1
Medicine Lodge Creek,,9030,460,1
Medicine Lodge Creek,,9205.531,83.55473,1
Michaud,,10200,620,1
Mill Iron,,11070.67,44.33718,1
Millard Creek,,8300,200,1
Milliken,,8150,300,1
Milliken,,9000,150,1
Mitchell Farm,,11480,400,1
Modoc Rockshelter,,8000,80,1
Modoc Rockshelter,,8030,220,1
Modoc Rockshelter,,8109.061,75.70606,1
Modoc Rockshelter,,8270,80,1
Modoc Rockshelter,,8353.389,56.71515,1
Modoc Rockshelter,,8430,70,1
Modoc Rockshelter,,8457.192,86.49502,1
Modoc Rockshelter,,8530,120,1
Modoc Rockshelter,,8920,220,1
Modoc Rockshelter,,9101,440,1
Mona Lisa,,8080,150,1
Mona Lisa,,8545,280,1
Moon mammoth,,12210,120,1
Morrill Point,,8205.958,29.78953,1
Morrisroe,,8220,100,1
Mostin,,8400,190,1
Mostin,,9505.171,167.8571,1
Mostin,,11250,250,1
Mummy Cave,,8100,130,1
Mummy Cave,,8430,140,1
Mummy Cave,,8740,140,1
Mummy Cave,,9230,150,1
Murray Springs,,10885,50,2
Myers-Hindman,,8947.963,137.7499,1
Namu,,8570,90,1
Namu,,9316.707,88.7214,1
Napao,,8155,230,1
Neponset,,10190,60,1
Neptune,,8310,110,1
Niska,,8475,650,1
Niska,,10880,70,1
Norton,,9080,60,1
O’Haco Rockshelter,,8255.809,85.51978,1
Olive Branch,,9115,100,1
Osprey Beach,,9360,60,1
OTL Ridge,,10906.56,30.20565,1
Packard,,9630,100,1
Packard,,9823.381,45.46448,1
Page-Ladson,,9916.367,32.28087,1
Page-Ladson,,12330,110,1
Paint Rock V,,8233.555,109.4306,1
Paleo Crossing,,10980,75,2
Patrick,,9410,290,1
Paulina Lake,,8503.828,34.23433,1
Paulina Lake,,9068.898,72.84,1
Pee Wee Grande,,8230,90,1
Pendejo Cave,,11509.83,88.70455,1
Pendejo Cave,,12355.39,50.31968,1
Pictograph Cave,,8580,80,1
Pigeon Cliffs,,8280,1000,1
Pigeon Roost Creek,,8500,220,1
Pine Bluffs,,9880,130,1
Pine Spring,,9775,195,1
Pinware Hill,,8850,100,1
Plainview,,10070,500,1
Pleasant Lake,,10395,100,1
Poland,,10240,90,1
Poole Inlet West (1359T),,8270,60,1
Porter Hollow,,10090,120,1
Puckett,,8655,127.2792,1
Puckett,,9790,160,1
Pyramid Lake,,9660,170,1
Raddatz Rockshelter,,11610,300,1
Radiant 3,,8690,690,1
Rancho La Brea,,9000,80,1
Rancho Park North,,8040,80,1
Rancho Park North,,8103.774,37.38054,1
Rappuhn mastodon,,10674.21,91.76629,1
Rattlesnake Pass,,9860,106.066,1
Rawhide Butte,,10550,350,1
Rawhide Creek,,10180,480,1
Ray Long,,9380,250,1
Redfish Lake Overhang,,8060,190,1
Redfish Lake Overhang,,10180,127.2792,1
Rex Rodgers,,9118,83,1
Richard Beene,,9825,84.85281,1
Richardson Island (1127T),,8659.76,22.82609,1
Richardson Island (1127T),,8874.017,25.22614,1
Richardson Island (1127T),,9140.225,20.13468,1
Richmond Hill,,9360,120,1
Rimouski,,8150,130,1
Rock Bar Alcove,,8280,160,1
Rock Creek Alcove,,8660,80,1
Rodgers Shelter,,8065,212.132,1
Rodgers Shelter,,8100,140,1
Rodgers Shelter,,10267.63,294.25,1
Rogers Ridge,,8314.941,70.57228,1
Rose Island,,9133.568,117.0172,1
Rumford Falls I,,8850,140,1
Rumford Falls V,,9370,120,1
Running Springs,,9380,140,1
Rush Bay Road,,8450,550,1
Russ,,8220,420,1
Russell Cave,,8397.139,84.22967,1
Russell Cave,,9020,175,1
Ryan’s,,9220,220,1
San Jon,,8360,210,1
Sandal Shelter,,8300,60,1
Saskatoon Mountain,,8130,130,1
Saskatoon Mountain,,8170,210,1
Saskatoon Mountain,,8620,620,1
Saskatoon Mountain,,9360.541,59.18364,1
Saugus Quarry,,8095,415,1
Scaredy Cat Cave,,8190,100,1
Schaefer Mammoth,,12368.8,21.2932,1
Schiffer Cave,,8430,113.1371,1
Schmidt,,8100,500,1
Seal Cave,,9030,100,1
Seal Cave,,9440,50,1
Second Lake (162R),,9455,450,1
Sedgewick Bay (791T),,8080,60,1
Seed Cave,,8370,230,1
Sentinel Gap,,8880,70,1
Sentinel Gap,,10144.46,25.94093,1
Sevier Desert,,9570,430,1
Sharrow,,8524.136,53.47735,1
Shawnee-Minisink,,10935,15,2
Sheaman,,10618.49,98.31456,1
Sheep Rock Shelter,,8870,320,1
Sheep Rock Spring,,9315.256,25.55071,1
Sheguiandah,,9275.049,45.41937,1
Shelton mastodon,,9618.703,111.1554,1
Sheriden Cave,,10765.87,22.72554,1
Sheriden Cave,,10788.8,48,1
Sheriden Cave,,10847.12,44.60906,1
Sheriden Cave,,11536.86,40.64516,1
Shinners Site A,,8380,120,1
Shinners Site A,,9540,120,1
Sibbald Creek,,9570,320,1
Silver Mound Rockshelter,,9405,90,1
Simonsen,,8430,520,1
Sinnock,,8030,160,1
Sister’s Hill,,9622.92,169.2641,1
Site 243R,,8754,35.77709,1
Skyrocket,,8550,150,1
Skyrocket,,9050,90,1
Skyrocket,,9410,250,1
Sloth Hole,,11050,50,2
Smith Creek Cave,,10859.64,44.13122,1
Smith Mountain,,8810,130,1
Smith Mountain,,10150,70,1
Sommers,,8700,65,1
Southsider Cave,,8890.99,155.082,1
Spirit Cave,,9333.994,19.32061,1
Squaw Rockshelter,,9480,160,1
St. Albans,,8250,100,1
St. Albans,,8253.851,88.7214,1
St. Albans,,8943.024,114.7836,1
St. Louis,,8400,70,1
St. Louis,,9150,40,1
Stamp,,9130,200,1
Stamp,,9660,140,1
Standish,,8170,90,1
Stanfield-Worley Shelter,,9260.052,182.7623,1
State Road Ripple,,11385,140,1
Steel,,9510,60,1
Steel’s Pass,,9250,70,1
Steel’s Pass,,10100,80,1
Stick Man,,8090,28.86751,1
Stigenwalt,,8274.736,115.3382,1
Stonepine,,9540,70,1
Stucke Farm,,9370,70,1
Sunshine Locality,,9873.115,38.41106,1
Sunshine Locality,,10502.91,26.82611,1
Survey Point,,12260,141.4214,1
Swan Landing,,8675,270,1
Swan’s Landing,,8015,180,1
Table Land,,8498.941,32.21253,1
Taylor,,9814.195,35.14949,1
Templeton,,10190,300,1
Thunderbird,,9900,340,1
Titus,,8070,100,1
Tule Lake Shelter,,11450,340,1
Turkey Swamp,,8739,165,1
Two Moon Rockshelter,,8570,60,1
Two Moon Rockshelter,,10060,60,1
Union Pacific mammoth,,11360,350,1
Upper Shawnee Island,,9330,545,1
Vail,,10530,103,3
Varney Farm,,8568.682,30.69978,1
Vegan,,8400,130,1
Ventana Cave,,9310.61,30.03141,1
Ventana Cave,,10390.87,80.93116,1
Ventana Cave,,11300,1200,1
Vermilion Lakes Loc. A (153R),,9644.239,98.23958,1
Vermilion Lakes Loc. A (153R),,9921.711,46.151,1
Vermilion Lakes Loc. A (153R),,10221.45,107.2899,1
Vermilion Lakes Loc. A (153R),,10330.91,60.46298,1
Vermilion Lakes Loc. A (153R),,10771.45,173.4714,1
Vermilion Lakes Loc. B (502R),,9908.183,96.72582,1
Wadleigh Falls,,8630,150,1
Wallmann mammoth,,11080,300,1
Walnut Street trench,,8685,370,1
Walter’s Cave,,8875,125,1
Wapanucket 8,,8638.183,58.256,1
Ward’s Point,,8250,140,1
Warm Mineral Spring,,9337.465,195.9105,1
Warm Mineral Spring,,10980,160,1
"Wasden, Owl Cave",,10328.02,49.51575,1
Weirs Beach,,9022.462,185.4239,1
Weirs Beach,,9615,225,1
Welsch,,8000,120,1
Welsch,,8090,110,1
Welsch,,8173.698,81.08696,1
Welsch,,8190,77.78175,1
Welsch,,8224.523,65.2698,1
Welsch,,8240,77.78175,1
West Creek,,9850,160,1
Wewukiyephuh,,10343.17,31.23475,1
Whalen,,9302.094,97.71764,1
WHD Sage Creek,,8230,540,1
WHD Sage Creek,,8527.09,179.2876,1
Whipple,,10376.7,176.8103,1
Willard mastodon,,9600,205,1
Wilson Butte Cave,,10440.33,66.89647,1
Wilson-Leonard,,8884.416,68.37635,1
Wilson-Leonard,,9555.039,66.11497,1
Windy Mesa,,8270,80,1
Winger,,9080,90,1
Wizard Beach,,9204.145,29.4534,1
Wood Island,,8040,90,1
Wyght,,8030,1970,1
